  ;CDU/CSU ;SPD ;GRÜNE ;FDP ;LINKE ;PIRATEN ;AfD ;Sonstige ;Befragte ;Zeitraum
22.07.2011;33%;27%;23%;4%;8%;;;5%;1001;19.07.–20.07.
07.07.2011;32%;26%;23%;5%;8%;;;6%;1505;04.07.–06.07.
24.06.2011;34%;26%;23%;4%;7%;;;6%;1001;21.06.–22.06.
09.06.2011;33%;25%;24%;5%;8%;;;5%;1507;06.06.–08.06.
22.05.2011;33%;26%;23%;4%;8%;;;6%;1002;18.05.–20.05.
13.05.2011;33%;26%;22%;5%;8%;;;6%;1000;09.05.–10.05.
05.05.2011;35%;26%;23%;4%;7%;;;5%;1501;02.05.–04.05.
15.04.2011;33%;26%;24%;4%;8%;;;5%;1000;12.04.–13.04.
07.04.2011;33%;27%;23%;5%;7%;;;5%;1504;04.04.–05.04.
24.03.2011;35%;27%;21%;5%;7%;;;5%;1000;21.03.–23.03.
18.03.2011;35%;28%;20%;5%;7%;;;5%;1000;15.03.–16.03.
10.03.2011;35%;28%;15%;6%;9%;;;7%;1503;08.03.–09.03.
24.02.2011;35%;27%;17%;6%;8%;;;7%;1900;21.02.–23.02.
18.02.2011;37%;25%;18%;5%;8%;;;7%;1000;15.02.–16.02.
14.02.2011;35%;26%;19%;5%;9%;;;6%;1000;10.02.
03.02.2011;36%;25%;19%;5%;8%;;;7%;1505;31.01.–02.02.
21.01.2011;34%;28%;19%;4%;8%;;;7%;1000;18.01.–19.01.
06.01.2011;36%;26%;19%;4%;9%;;;6%;1505;03.01.–05.01.
10.12.2010;33%;27%;20%;5%;10%;;;5%;1000;07.12.–08.12.
02.12.2010;32%;27%;21%;5%;10%;;;5%;1500;29.11.–01.12.
12.11.2010;31%;26%;23%;5%;10%;;;5%;1000;09.11.–10.11.
04.11.2010;32%;27%;22%;5%;9%;;;5%;1000;02.11.–03.11.
15.10.2010;31%;28%;21%;5%;10%;;;5%;1000;12.10.–13.10.
07.10.2010;32%;27%;20%;5%;11%;;;5%;2005;04.10.–06.10.
01.10.2010;33%;29%;18%;5%;10%;;;5%;1000;28.09.–29.09.
17.09.2010;32%;29%;18%;5%;10%;;;6%;1000;14.09.–15.09.
02.09.2010;32%;30%;17%;5%;10%;;;6%;2006;30.08.–01.09.
20.08.2010;31%;31%;16%;5%;10%;;;7%;1000;17.08.–18.08.
05.08.2010;31%;31%;17%;5%;10%;;;6%;1500;02.08.–04.08.
23.07.2010;33%;30%;17%;5%;10%;;;5%;1000;20.07.–21.07.
01.07.2010;33%;30%;17%;5%;10%;;;5%;1624;30.06.–01.07.
15.06.2010;32%;29%;17%;5%;11%;;;6%;1000;14.06.–15.06.
11.06.2010;31%;29%;16%;6%;12%;;;6%;1000;08.06.–09.06.
02.06.2010;32%;29%;16%;8%;10%;;;5%;1002;01.06.–02.06.
27.05.2010;33%;27%;16%;7%;11%;;;6%;1500;25.05.–26.05.
14.05.2010;32%;28%;17%;7%;11%;;;5%;1000;10.05.–11.05.
29.04.2010;35%;26%;16%;8%;10%;;;5%;1500;26.04.–28.04.
16.04.2010;36%;26%;14%;9%;10%;;;5%;1000;13.04.–14.04.
31.03.2010;35%;28%;14%;8%;10%;;;5%;1500;29.03.–30.03.
19.03.2010;35%;27%;14%;9%;10%;;;5%;1000;16.03.–17.03.
04.03.2010;36%;25%;14%;10%;11%;;;4%;1500;01.03.–03.03.
19.02.2010;34%;27%;15%;10%;10%;;;4%;1000;16.02.–17.02.
04.02.2010;36%;26%;15%;8%;11%;;;4%;1502;01.02.–03.02.
22.01.2010;36%;25%;13%;10%;11%;;;5%;1000;19.01.–20.01.
07.01.2010;36%;25%;12%;11%;10%;;;6%;1500;04.01.–06.01.
11.12.2009;35%;24%;14%;12%;11%;;;4%;1000;08.12.–09.12.
03.12.2009;35%;24%;13%;12%;11%;;;5%;1500;30.11.–02.12.
20.11.2009;35%;22%;12%;13%;12%;;;6%;1000;17.11.–19.11.
13.11.2009;35%;21%;13%;13%;12%;;;6%;1000;10.11.–11.11.
05.11.2009;35%;22%;12%;14%;12%;;;5%;1750;02.11.–04.11.
16.10.2009;34%;22%;12%;14%;13%;;;5%;1000;13.10.–14.10.
08.10.2009;34%;23%;11%;14%;13%;;;5%;1500;05.10.–07.10.
17.09.2009;35%;26%;10%;14%;11%;;;4%;1252;15.09.–17.09.
10.09.2009;35%;23%;12%;14%;12%;;;4%;1000;08.09.–09.09.
03.09.2009;35%;23%;13%;14%;11%;;;4%;1500;31.08.–02.09.
27.08.2009;35%;23%;13%;15%;10%;;;4%;1000;24.08.–26.08.
21.08.2009;36%;23%;13%;15%;9%;;;4%;1000;18.08.–19.08.
13.08.2009;37%;22%;12%;15%;9%;;;5%;1000;11.08.–12.08.
06.08.2009;35%;23%;13%;16%;10%;;;3%;1541;03.08.–05.08.
30.07.2009;36%;24%;13%;14%;10%;;;3%;1000;28.07.–29.07.
17.07.2009;36%;23%;13%;14%;10%;;;4%;1000;14.07.–15.07.
02.07.2009;35%;23%;13%;15%;10%;;;4%;1500;29.06.–01.07.
26.06.2009;35%;24%;13%;15%;9%;;;4%;1000;23.06.–24.06.
11.06.2009;36%;25%;13%;14%;9%;;;3%;1500;08.06.–10.06.
15.05.2009;35%;28%;12%;13%;9%;;;3%;1000;12.05.–13.05.
07.05.2009;34%;27%;11%;14%;10%;;;4%;1500;04.05.–06.05.
17.04.2009;35%;26%;11%;14%;10%;;;4%;1000;14.04.–15.04.
09.04.2009;34%;27%;11%;14%;10%;;;4%;1000;06.04.–07.04.
02.04.2009;34%;26%;11%;15%;11%;;;3%;1500;30.03.–01.04.
20.03.2009;33%;27%;10%;16%;10%;;;4%;1000;17.03.–18.03.
05.03.2009;32%;27%;11%;17%;10%;;;3%;1500;02.03.–04.03.
19.02.2009;33%;26%;11%;16%;11%;;;3%;1000;17.02.–18.02.
05.02.2009;34%;25%;11%;16%;11%;;;3%;1750;02.02.–04.02.
23.01.2009;35%;25%;11%;14%;11%;;;4%;1000;20.01.–21.01.
08.01.2009;37%;26%;10%;13%;10%;;;4%;1500;05.01.–07.01.
