  ;CDU/CSU ;SPD ;GRÜNE ;FDP ;LINKE ;PIRATEN ;AfD ;Sonstige ;Befragte ;Zeitraum
15.08.2012;36%;26%;13%;4%;7%;9%;;5%;2501;06.08.–10.08.
08.08.2012;36%;26%;13%;5%;6%;9%;;5%;2503;30.07.–03.08.
01.08.2012;36%;27%;12%;5%;6%;9%;;5%;2501;23.07.–27.07.
25.07.2012;36%;27%;12%;4%;7%;9%;;5%;2502;16.07.–20.07.
18.07.2012;36%;26%;13%;4%;6%;10%;;5%;2501;09.07.–13.07.
11.07.2012;36%;26%;13%;4%;7%;9%;;5%;2503;02.07.–06.07.
04.07.2012;36%;27%;12%;3%;7%;9%;;6%;2506;25.06.–29.06.
27.06.2012;34%;27%;13%;4%;7%;10%;;5%;2501;18.06.–22.06.
20.06.2012;33%;27%;13%;5%;7%;10%;;5%;2501;11.06.–15.06.
13.06.2012;32%;27%;14%;5%;7%;10%;;5%;2504;04.06.–08.06.
05.06.2012;33%;27%;14%;4%;6%;11%;;5%;2000;29.05.–01.06.
30.05.2012;32%;27%;13%;5%;6%;12%;;5%;2500;21.05.–25.05.
23.05.2012;31%;27%;13%;6%;6%;13%;;4%;2002;14.05.–18.05.
15.05.2012;35%;26%;13%;5%;6%;12%;;3%;2501;07.05.–11.05.
09.05.2012;36%;26%;13%;4%;7%;11%;;3%;2001;30.04.–04.05.
02.05.2012;36%;25%;12%;4%;8%;11%;;4%;2510;23.04.–27.04.
25.04.2012;35%;24%;12%;5%;7%;13%;;4%;2505;16.04.–20.04.
18.04.2012;35%;25%;12%;5%;7%;13%;;3%;2001;10.04.–13.04.
09.04.2012;36%;24%;11%;5%;8%;13%;;3%;2007;02.04.–04.04.
01.04.2012;35%;25%;13%;3%;9%;12%;;3%;2503;26.03.–30.03.
28.03.2012;36%;26%;14%;4%;9%;7%;;4%;2503;19.03.–23.03.
21.03.2012;36%;26%;15%;3%;9%;6%;;5%;2504;12.03.–16.03.
14.03.2012;36%;26%;15%;3%;9%;7%;;4%;2506;05.03.–09.03.
07.03.2012;37%;26%;15%;3%;8%;7%;;4%;2506;27.02.–02.03.
29.02.2012;38%;26%;14%;3%;8%;7%;;4%;2502;20.02.–24.02.
22.02.2012;38%;25%;15%;2%;8%;8%;;4%;2503;13.02.–17.02.
15.02.2012;38%;26%;13%;2%;9%;7%;;5%;2503;06.02.–10.02.
08.02.2012;38%;27%;13%;3%;8%;7%;;4%;2500;30.01.–03.02.
01.02.2012;36%;27%;15%;3%;8%;7%;;4%;2502;23.01.–27.01.
25.01.2012;36%;27%;15%;3%;7%;7%;;5%;2500;16.01.–20.01.
18.01.2012;35%;27%;15%;3%;7%;8%;;5%;2500;09.01.–13.01.
11.01.2012;36%;26%;16%;2%;7%;8%;;5%;2501;02.01.–06.01.
04.01.2012;35%;27%;14%;3%;8%;8%;;5%;2003;27.12.–30.12.
28.12.2011;35%;28%;14%;3%;8%;7%;;5%;2503;19.12.–23.12.
21.12.2011;35%;28%;14%;2%;7%;9%;;5%;2500;12.12.–16.12.
14.12.2011;35%;28%;14%;3%;8%;7%;;5%;2502;05.12.–09.12.
07.12.2011;35%;26%;16%;3%;9%;6%;;5%;2501;29.11.–02.12.
30.11.2011;35%;25%;16%;3%;9%;7%;;5%;2506;21.11.–25.11.
23.11.2011;36%;26%;14%;3%;8%;8%;;5%;2505;14.11.–18.11.
16.11.2011;34%;26%;15%;2%;9%;9%;;5%;2503;07.11.–11.11.
09.11.2011;33%;28%;15%;3%;8%;8%;;5%;2501;31.10.–04.11.
02.11.2011;32%;28%;16%;3%;8%;9%;;4%;2501;24.10.–28.10.
26.10.2011;31%;27%;16%;3%;8%;10%;;5%;2504;17.10.–21.10.
19.10.2011;31%;26%;16%;3%;8%;10%;;6%;2502;10.10.–14.10.
12.10.2011;31%;27%;17%;4%;8%;8%;;5%;2003;04.10.–07.10.
05.10.2011;31%;28%;17%;3%;7%;8%;;6%;2502;26.09.–30.09.
28.09.2011;31%;29%;19%;2%;7%;7%;;5%;2501;18.09.–23.09.
21.09.2011;31%;28%;20%;3%;9%;;;9%;2505;12.09.–16.09.
14.09.2011;31%;29%;19%;4%;9%;;;8%;2500;05.09.–09.09.
07.09.2011;32%;27%;19%;4%;9%;;;9%;2501;29.08.–02.09.
31.08.2011;33%;25%;21%;5%;9%;;;7%;2500;22.08.–26.08.
24.08.2011;32%;26%;21%;5%;8%;;;8%;2500;15.08.–19.08.
17.08.2011;32%;26%;21%;4%;9%;;;8%;2501;08.08.–12.08.
10.08.2011;32%;27%;21%;3%;9%;;;8%;2502;01.08.–05.08.
03.08.2011;32%;26%;22%;3%;10%;;;7%;2501;25.07.–29.07.
27.07.2011;33%;25%;22%;3%;10%;;;7%;2505;18.07.–22.07.
20.07.2011;32%;24%;23%;4%;9%;;;8%;2506;11.07.–15.07.
13.07.2011;31%;24%;23%;4%;10%;;;8%;2504;04.07.–08.07.
06.07.2011;33%;23%;23%;5%;9%;;;7%;2500;27.06.–01.07.
29.06.2011;32%;23%;24%;5%;9%;;;7%;2506;20.06.–24.06.
21.06.2011;32%;23%;25%;4%;9%;;;7%;2008;14.06.–17.06.
15.06.2011;31%;23%;26%;4%;9%;;;7%;2501;05.06.–10.06.
08.06.2011;30%;22%;27%;5%;8%;;;8%;2003;30.05.–03.06.
31.05.2011;30%;24%;26%;4%;8%;;;8%;2501;23.05.–27.05.
25.05.2011;32%;21%;26%;5%;9%;;;7%;2502;16.05.–22.05.
18.05.2011;32%;22%;26%;3%;9%;;;8%;2501;09.05.–13.05.
11.05.2011;31%;22%;26%;4%;9%;;;8%;2003;02.05.–06.05.
04.05.2011;31%;21%;28%;4%;8%;;;8%;2001;26.04.–29.04.
27.04.2011;31%;22%;27%;4%;9%;;;7%;2005;18.04.–21.04.
19.04.2011;31%;23%;28%;3%;8%;;;7%;2504;11.04.–15.04.
13.04.2011;30%;24%;27%;4%;8%;;;7%;2501;04.04.–08.04.
06.04.2011;30%;23%;28%;3%;9%;;;7%;2505;28.03.–01.04.
30.03.2011;33%;25%;21%;5%;8%;;;8%;2503;21.03.–25.03.
23.03.2011;33%;25%;20%;5%;9%;;;8%;2504;14.03.–18.03.
16.03.2011;36%;26%;18%;5%;9%;;;6%;1004;14.03.
16.03.2011;36%;26%;15%;6%;10%;;;7%;2506;07.03.–11.03.
09.03.2011;36%;26%;16%;5%;10%;;;7%;2501;28.02.–04.03.
02.03.2011;34%;27%;16%;5%;10%;;;8%;2503;21.02.–25.02.
23.02.2011;36%;23%;18%;5%;10%;;;8%;2501;14.02.–18.02.
16.02.2011;36%;22%;19%;5%;11%;;;7%;2504;07.02.–11.02.
09.02.2011;36%;22%;20%;5%;10%;;;7%;2507;31.01.–04.02.
02.02.2011;36%;22%;21%;5%;9%;;;7%;2501;24.01.–28.01.
26.01.2011;37%;23%;20%;4%;9%;;;7%;2502;17.01.–21.01.
19.01.2011;36%;24%;20%;4%;9%;;;7%;2503;10.01.–14.01.
12.01.2011;35%;25%;21%;3%;9%;;;7%;2503;03.01.–07.01.
04.01.2011;34%;24%;20%;4%;11%;;;7%;2005;27.12.–30.12.
28.12.2010;34%;25%;20%;3%;11%;;;7%;2004;20.12.–23.12.
21.12.2010;35%;24%;19%;3%;11%;;;8%;2502;13.12.–17.12.
15.12.2010;34%;24%;20%;4%;11%;;;7%;2500;06.12.–10.12.
08.12.2010;34%;23%;21%;4%;10%;;;8%;2503;29.11.–03.12.
01.12.2010;34%;22%;22%;5%;10%;;;7%;2501;22.11.–26.11.
24.11.2010;34%;22%;22%;5%;10%;;;7%;2500;15.11.–19.11.
17.11.2010;33%;23%;22%;5%;11%;;;6%;2503;08.11.–12.11.
10.11.2010;32%;23%;23%;5%;10%;;;7%;2503;01.11.–05.11.
03.11.2010;30%;23%;24%;4%;11%;;;8%;2501;25.10.–29.10.
27.10.2010;30%;23%;24%;5%;11%;;;7%;2502;18.10.–22.10.
20.10.2010;31%;23%;24%;4%;11%;;;7%;2510;11.10.–15.10.
13.10.2010;29%;23%;25%;4%;12%;;;7%;2502;04.10.–08.10.
06.10.2010;31%;23%;24%;5%;10%;;;7%;2501;27.09.–01.10.
29.09.2010;30%;25%;23%;5%;10%;;;7%;2500;20.09.–24.09.
22.09.2010;29%;24%;24%;5%;10%;;;8%;2501;13.09.–17.09.
15.09.2010;30%;24%;22%;5%;11%;;;8%;2501;06.09.–10.09.
08.09.2010;31%;25%;21%;5%;10%;;;8%;2503;30.08.–03.09.
01.09.2010;31%;27%;19%;6%;9%;;;8%;2501;23.08.–27.08.
25.08.2010;30%;27%;20%;5%;11%;;;7%;2501;16.08.–20.08.
18.08.2010;30%;27%;20%;4%;11%;;;8%;2501;09.08.–13.08.
11.08.2010;29%;28%;19%;5%;11%;;;8%;2501;02.08.–06.08.
04.08.2010;30%;28%;18%;5%;11%;;;8%;2501;26.07.–30.07.
28.07.2010;29%;28%;19%;5%;11%;;;8%;2502;19.07.–23.07.
21.07.2010;30%;28%;19%;4%;11%;;;8%;2500;12.07.–16.07.
14.07.2010;31%;28%;18%;4%;11%;;;8%;2501;05.07.–09.07.
07.07.2010;31%;27%;18%;4%;12%;;;8%;2501;28.06.–02.07.
29.06.2010;32%;27%;18%;4%;11%;;;8%;2500;21.06.–25.06.
23.06.2010;30%;27%;18%;5%;12%;;;8%;2504;14.06.–18.06.
16.06.2010;31%;26%;18%;6%;11%;;;8%;2501;07.06.–11.06.
09.06.2010;32%;26%;18%;5%;12%;;;7%;2501;31.05.–04.06.
01.06.2010;30%;26%;16%;7%;13%;;;8%;2003;25.05.–28.05.
26.05.2010;32%;26%;16%;7%;12%;;;7%;2504;17.05.–21.05.
19.05.2010;32%;27%;16%;6%;11%;;;8%;2001;10.05.–14.05.
11.05.2010;35%;24%;15%;7%;12%;;;7%;2503;03.05.–07.05.
05.05.2010;34%;25%;16%;8%;10%;;;7%;2501;26.04.–30.04.
28.04.2010;36%;24%;14%;8%;11%;;;7%;2500;19.04.–23.04.
21.04.2010;36%;24%;15%;8%;10%;;;7%;2501;12.04.–16.04.
14.04.2010;36%;23%;15%;8%;11%;;;7%;2001;06.04.–09.04.
07.04.2010;34%;24%;15%;7%;12%;;;8%;2002;29.03.–01.04.
30.03.2010;34%;25%;14%;7%;12%;;;8%;2501;22.03.–26.03.
24.03.2010;32%;25%;15%;8%;12%;;;8%;2502;15.03.–19.03.
17.03.2010;34%;23%;16%;8%;11%;;;8%;2501;08.03.–12.03.
10.03.2010;33%;23%;16%;8%;12%;;;8%;2502;01.03.–05.03.
03.03.2010;35%;22%;16%;9%;11%;;;7%;2503;22.02.–26.02.
24.02.2010;35%;22%;16%;8%;12%;;;7%;2500;15.02.–19.02.
17.02.2010;35%;22%;17%;7%;12%;;;7%;2503;08.02.–12.02.
10.02.2010;34%;22%;17%;8%;11%;;;8%;2501;01.02.–05.02.
03.02.2010;36%;22%;16%;9%;11%;;;6%;2505;25.01.–29.01.
27.01.2010;36%;21%;16%;9%;11%;;;7%;2502;18.01.–22.01.
20.01.2010;35%;21%;15%;11%;11%;;;7%;2500;11.01.–15.01.
13.01.2010;35%;22%;14%;10%;11%;;;8%;2501;04.01.–08.01.
06.01.2010;35%;22%;13%;12%;11%;;;7%;1502;28.12.–30.12.
28.12.2009;35%;22%;12%;12%;12%;;;7%;1004;21.12.–22.12.
21.12.2009;35%;21%;13%;12%;11%;;;8%;2500;14.12.–18.12.
16.12.2009;37%;19%;13%;11%;12%;;;8%;2500;07.12.–11.12.
09.12.2009;36%;20%;13%;12%;12%;;;7%;2501;30.11.–04.12.
02.12.2009;37%;20%;13%;12%;11%;;;7%;2503;23.11.–27.11.
25.11.2009;37%;19%;13%;12%;12%;;;7%;2503;16.11.–20.11.
18.11.2009;36%;20%;12%;13%;12%;;;7%;2500;09.11.–13.11.
11.11.2009;36%;20%;12%;13%;12%;;;7%;2500;02.11.–06.11.
04.11.2009;36%;21%;12%;12%;12%;;;7%;2503;26.10.–30.10.
28.10.2009;35%;20%;12%;15%;12%;;;6%;2503;19.10.–23.10.
21.10.2009;35%;20%;10%;16%;13%;;;6%;2502;12.10.–16.10.
14.10.2009;34%;20%;11%;16%;13%;;;6%;2504;05.10.–09.10.
07.10.2009;35%;22%;10%;14%;13%;;;6%;2501;28.09.–02.10.
25.09.2009;33%;25%;10%;14%;12%;;;6%;2001;21.09.–24.09.
23.09.2009;35%;26%;11%;13%;10%;;;5%;2503;15.09.–21.09.
16.09.2009;37%;24%;11%;12%;10%;;;6%;1008;14.09.
16.09.2009;35%;22%;11%;13%;13%;;;6%;2506;07.09.–11.09.
09.09.2009;35%;21%;10%;14%;14%;;;6%;2504;01.09.–07.09.
02.09.2009;36%;22%;12%;14%;10%;;;6%;2502;25.08.–31.08.
26.08.2009;37%;22%;12%;13%;10%;;;6%;2504;18.08.–24.08.
19.08.2009;37%;22%;12%;13%;11%;;;5%;2506;11.08.–17.08.
12.08.2009;38%;21%;12%;13%;11%;;;5%;2501;03.08.–07.08.
05.08.2009;37%;20%;13%;14%;11%;;;5%;2502;27.07.–31.07.
29.07.2009;38%;23%;12%;13%;9%;;;5%;2502;20.07.–24.07.
22.07.2009;36%;23%;12%;14%;10%;;;5%;2507;13.07.–17.07.
15.07.2009;36%;23%;12%;14%;10%;;;5%;2501;06.07.–10.07.
08.07.2009;37%;21%;13%;15%;9%;;;5%;2504;29.06.–03.07.
01.07.2009;36%;21%;12%;15%;11%;;;5%;2500;22.06.–26.06.
24.06.2009;36%;22%;12%;15%;10%;;;5%;2503;15.06.–19.06.
17.06.2009;35%;21%;13%;15%;11%;;;5%;2501;08.06.–12.06.
09.06.2009;36%;24%;11%;14%;10%;;;5%;2008;02.06.–05.06.
03.06.2009;35%;24%;11%;15%;10%;;;5%;2502;25.05.–29.05.
27.05.2009;35%;24%;11%;15%;10%;;;5%;2001;18.05.–22.05.
19.05.2009;36%;24%;11%;14%;10%;;;5%;2502;11.05.–15.05.
13.05.2009;36%;26%;9%;14%;10%;;;5%;2501;04.05.–08.05.
06.05.2009;35%;25%;9%;16%;10%;;;5%;2001;27.04.–30.04.
29.04.2009;36%;25%;9%;15%;9%;;;6%;2501;20.04.–24.04.
22.04.2009;35%;23%;10%;16%;11%;;;5%;2001;14.04.–17.04.
15.04.2009;35%;24%;10%;16%;11%;;;4%;2000;06.04.–09.04.
07.04.2009;36%;24%;10%;16%;10%;;;4%;2501;30.03.–03.04.
01.04.2009;34%;25%;10%;17%;10%;;;4%;2505;23.03.–27.03.
25.03.2009;34%;24%;10%;16%;11%;;;5%;2504;16.03.–20.03.
18.03.2009;33%;24%;10%;17%;11%;;;5%;2501;09.03.–13.03.
11.03.2009;34%;25%;9%;17%;11%;;;4%;2500;02.03.–06.03.
04.03.2009;33%;24%;11%;17%;11%;;;4%;2503;23.02.–27.02.
25.02.2009;34%;23%;10%;18%;11%;;;4%;2506;16.02.–20.02.
18.02.2009;34%;22%;10%;18%;12%;;;4%;2502;09.02.–13.02.
11.02.2009;34%;23%;10%;18%;11%;;;4%;2500;02.02.–06.02.
04.02.2009;34%;23%;11%;16%;11%;;;5%;2501;26.01.–30.01.
28.01.2009;35%;22%;10%;16%;12%;;;5%;2503;19.01.–23.01.
21.01.2009;36%;24%;9%;14%;11%;;;6%;2500;12.01.–16.01.
14.01.2009;36%;25%;9%;13%;11%;;;6%;2502;05.01.–09.01.
07.01.2009;37%;23%;10%;13%;11%;;;6%;1003;05.01.
