  ;CDU/CSU ;SPD ;GRÜNE ;FDP ;LINKE ;PIRATEN ;Sonstige ;AfD;Befragte ;Zeitraum
25.01.2012;35,0 % ;29,0 % ;16,5 % ;4,0 % ;7,0 % ;4,0 % ;4,5 % ;  ;1904;07.01.–21.01.
13.12.2011;34,0 % ;30,0 % ;16,0 % ;4,0 % ;7,0 % ;5,0 % ;4,0 % ;  ;1889;21.11.–04.12.
16.11.2011;32,0 % ;30,0 % ;17,0 % ;4,5 % ;8,0 % ;4,5 % ;4,0 % ;  ;1774;28.10.–11.11.
19.10.2011;31,0 % ;30,5 % ;17,5 % ;4,5 % ;7,5 % ;5,5 % ;3,5 % ;  ;1869;04.10.–16.10.
21.09.2011;33,5 % ;28,5 % ;19,0 % ;5,0 % ;8,0 % ;;6,0 % ;  ;1802;02.09.–16.09.
16.08.2011;33,0 % ;29,0 % ;20,0 % ;4,5 % ;7,5 % ;;6,0 % ;  ;1771;30.07.–13.08.
20.07.2011;34,0 % ;27,0 % ;20,0 % ;5,5 % ;7,5 % ;;6,0 % ;  ;1751;02.07.–15.07.
22.06.2011;34,5 % ;27,5 % ;21,0 % ;4,5 % ;7,0 % ;;5,5 % ;  ;1757;03.06.–18.06.
18.05.2011;33,0 % ;27,0 % ;22,0 % ;5,5 % ;6,5 % ;;6,0 % ;  ;1789;02.05.–14.05.
19.04.2011;32,0 % ;28,0 % ;23,0 % ;5,0 % ;7,0 % ;;5,0 % ;  ;1740;01.04.–16.04.
16.03.2011;36,5 % ;29,0 % ;15,0 % ;6,5 % ;8,0 % ;;5,0 % ;  ;1811;26.02.–13.03.
23.02.2011;36,0 % ;28,5 % ;16,5 % ;6,5 % ;7,5 % ;;5,0 % ;  ;1803;04.02.–17.02.
25.01.2011;34,5 % ;27,5 % ;18,0 % ;5,5 % ;8,5 % ;;6,0 % ;  ;1861;07.01.–21.01.
21.12.2010;34,0 % ;28,5 % ;18,5 % ;6,0 % ;8,0 % ;;5,0 % ;  ;1852;27.11.–10.12.
24.11.2010;32,0 % ;27,5 % ;19,5 % ;6,0 % ;9,0 % ;;6,0 % ;  ;1837;06.11.–18.11.
20.10.2010;30,5 % ;28,0 % ;20,5 % ;5,5 % ;9,5 % ;;6,0 % ;  ;1786;01.10.–14.10.
21.09.2010;32,5 % ;29,5 % ;18,5 % ;6,5 % ;8,0 % ;;5,0 % ;  ;1832;03.09.–16.09.
17.08.2010;31,0 % ;32,0 % ;17,0 % ;6,0 % ;8,5 % ;;5,5 % ;  ;1807;01.08.–12.08.
20.07.2010;31,5 % ;31,5 % ;15,5 % ;6,5 % ;9,5 % ;;5,5 % ;  ;1796;02.07.–15.07.
23.06.2010;32,0 % ;29,0 % ;15,5 % ;7,0 % ;11,0 % ;;5,5 % ;  ;1882;05.06.–17.06.
26.05.2010;32,0 % ;28,5 % ;14,5 % ;8,5 % ;10,0 % ;;6,5 % ;  ;1827;08.05.–20.05.
28.04.2010;35,0 % ;27,5 % ;13,5 % ;9,0 % ;9,5 % ;;5,5 % ;  ;1833;10.04.–23.04.
24.03.2010;36,0 % ;25,5 % ;13,0 % ;9,0 % ;11,0 % ;;5,5 % ;  ;1812;05.03.–17.03.
23.02.2010;37,0 % ;23,5 % ;13,5 % ;10,5 % ;10,5 % ;;5,0 % ;  ;1816;05.02.–19.02.
27.01.2010;34,5 % ;25,0 % ;11,5 % ;13,0 % ;11,0 % ;;5,0 % ;  ;1849;07.01.–21.01.
16.12.2009;34,5 % ;24,0 % ;11,0 % ;13,5 % ;12,0 % ;;5,0 % ;  ;1788;28.11.–11.12.
25.11.2009;35,5 % ;23,0 % ;11,0 % ;14,0 % ;11,5 % ;;5,0 % ;  ;1792;07.11.–19.11.
28.10.2009;35,0 % ;23,0 % ;10,5 % ;14,0 % ;12,0 % ;;5,5 % ;  ;1834;12.10.–22.10.
